Feature	ERR479243	ERR479263	ERR479142	ERR478958	ERR479037	ERR479022	ERR479417	ERR479393	ERR479111	ERR478986	ERR479177	ERR479169	ERR479010	ERR479132	ERR479175	ERR479167	ERR479423	ERR478970	ERR479440	ERR479294	ERR478984	ERR479339	ERR479353	ERR479079	ERR479357	ERR479374	ERR479355	ERR479397	ERR479415	ERR479319	ERR479077	ERR479063	ERR479223	ERR479033	ERR479335	ERR479401	ERR479029	ERR478962	ERR479138	ERR478990	ERR479235	ERR479391	ERR479083	ERR479128	ERR479276	ERR479370	ERR479255	ERR479000	ERR479071	ERR479378	ERR479290	ERR479059	ERR479173	ERR479183	ERR479219	ERR479049	ERR479039	ERR479413	ERR479524	ERR478974	ERR479488	ERR478976	ERR479460	ERR479107	ERR479436	ERR479093	ERR479512	ERR479101	ERR479538	ERR479286	ERR479554	ERR479341
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000278725	56	41	386	483	123	38	0	0	25	331	0	111	29	11	67	34	0	0	36	224	146	0	0	85	0	1151	233	123	46	30	412	566	0	505	156	0	78	23	33	10	32	0	64	0	19	15	366	129	124	54	0	32	90	21	53	218	0	48	0	1093	0	103	0	241	0	34	28	3903	0	494	90	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000308055	764	952	1572	0	2016	112	1539	0	0	0	255	858	606	0	0	0	0	421	0	0	567	85	0	0	70	2922	1540	0	2186	178	1056	521	0	0	0	1106	0	0	867	386	626	262	3003	1093	580	0	794	0	492	0	0	0	1037	471	1543	758	524	77	0	740	0	0	0	2101	0	0	295	376	0	363	163	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000411415	170	17	47	0	37	0	21	0	18	15	99	30	25	34	0	0	0	49	0	19	12	0	0	10	0	50	24	0	22	10	87	31	0	20	26	43	0	0	23	0	21	0	132	49	40	13	27	0	122	0	0	0	27	54	60	10	0	0	0	163	0	0	0	31	0	16	89	217	0	14	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000758755	99	24	65	16	770	12	25	11	0	11	0	133	21	0	0	0	0	0	68	56	12	12	0	0	0	136	13	16	28	23	26	12	0	0	62	43	0	0	35	0	18	0	575	0	12	37	27	0	0	0	0	0	45	108	39	38	20	32	43	20	11	10	15	0	0	28	22	1179	0	124	17	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp001064145	68	74	78	170	84	0	38	0	30	71	41	45	39	11	45	0	13	13	17	27	47	0	0	0	0	144	68	52	29	0	29	48	10	12	76	278	43	0	19	13	48	0	135	52	11	42	34	44	0	0	0	267	24	43	50	24	0	15	0	81	0	0	22	20	19	1617	12	486	0	43	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp001838165	85	20	36	0	33	0	359	0	13	0	0	42	17	0	0	0	0	0	0	30	28	0	0	15	0	58	38	0	57	0	29	29	0	0	19	283	13	0	30	0	244	0	110	36	0	26	24	26	0	11	0	0	23	17	30	18	0	0	0	40	0	0	0	51	0	19	0	301	0	16	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp900541895	602	104	362	0	303	0	184	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	417	0	364	0	0	0	0	207	0	0	86	91	0	0	613	0	0	0	0	0	0	0	0	0	0	0	154	0	72	37	0	0	0	0	0	0	0	0	0	116	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp900554605	1274	0	0	812	1122	0	0	51	0	0	0	675	0	0	0	0	0	0	267	1120	0	0	0	0	0	555	0	0	0	0	0	884	0	0	1419	0	0	0	224	182	0	0	3243	0	0	0	0	0	0	0	0	0	0	1153	0	0	0	180	0	1647	0	0	0	0	0	721	0	10609	0	1017	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp900556405	60	0	47	0	20	0	14	0	0	0	0	17	23	0	0	0	0	49	0	0	0	0	0	0	0	15	28	0	109	11	58	0	0	0	10	27	0	0	21	0	0	0	90	29	0	12	0	0	26	10	0	0	13	62	54	11	0	0	0	95	0	0	0	0	0	11	15	42	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp902373435	32	17	18	0	27	0	16	0	0	0	0	13	0	0	0	0	0	0	0	13	18	0	0	0	0	32	24	0	36	0	0	18	0	0	12	12	10	0	15	0	0	0	46	0	0	0	13	0	0	0	0	0	11	0	0	11	10	0	0	15	0	0	0	24	0	0	0	118	0	10	0	0
